"","AC","ALFAA","ALSEA","AMXA","AMXL","ARA","AZTECACPO","BACHCOB","BBVA","BIMBOA","C","CEMEXA","CEMEXB","CMXCPO","CICSAB1","CMOCTEZ","CMRB","COMEUBC","CYDSASAA","ELEKTRA","FMSAUBD","FRAGUAB","GAPB","GBMO","GCARSOA1","GCC","GEOB","GFAMSAA","GFINBURO","GFNORTEO","GIGANTE","GMD","GMEXICOB","GMODELOC","GRUMAB","HOGARB","HOMEX","ICA","ICHB","IDEALB1","INVEXA","KIMBERA","KOFL","KUOB","LAMOSA","MEXCHEM","PENOLES","PINFRA","QCPO","SAN","SAREB","SORIANAB","TELMEXA","TELMEXL","TLVACPO","URBI","VALUEGFO","WALMEXV"
"ene-06",31.45,59.95,11.13,10.85,10.86,13.45,5.79,20,254,9.63,5460,3.47,3.47,27.76,7.82,22.5,3.4,22.03,3.8,105.71,35.59,62,37.56,0.81,14.09,41.4,46.28,25.34,9.51,34.66,8.32,24.85,10.67,47.69,33.23,22.25,69.32,39.6,37.24,10.62,19.43,44.24,34.18,5.84,11.09,4.5,85.15,15.51,2.9,174.67,12.2,18.29,14.1,8.33,46.94,30.92,6.04,18.47
"feb-06",32.86,59.89,12.7,11.5,11.53,15.24,6.14,18.76,258.59,10.77,5410,3.47,3.47,27.76,8.11,25,3.9,21.86,4.49,114.09,34.72,69,40.62,0.81,15.92,43,49.73,30.79,9.78,38.74,9.75,26.3,11.67,51.74,34.89,25.39,79.35,36.9,41.77,10.7,19.67,44.99,36.91,8.14,11.2,5.02,88.98,17,3,185,12.88,20.59,14.16,8.41,53.19,32.96,6.05,18.5
"mar-06",36,65.19,14.59,12.2,12.21,16.19,5.92,19.8,266.82,11.26,5463,3.47,3.47,30.04,8.32,28.3,4.4,21.89,4.67,115.17,38.53,68.5,43.3,0.84,16.68,44,47.46,35.87,11.15,40.97,10.5,26.02,12.36,59.63,36.99,27.34,90.43,39.71,49.8,11.6,19.86,45.64,39.15,8.65,10.96,5.36,97.91,17.5,4.95,200.71,13.49,23.15,14.33,8.49,57.88,34.57,6.05,20.27
"abr-06",44,71.48,14.49,12.17,12.19,18.29,6.69,23.66,261,13.5,6030,3.47,3.47,30.65,10.25,30,4.5,28,4.96,130.99,41.72,74,42.39,1.14,17.66,52,54.21,43.29,10.62,42.25,11,27.01,12.29,59.99,38.92,32.5,106.06,40.75,46.04,13.69,20.54,49.68,41.03,10.01,12.71,6.06,99.1,19.7,5.35,201.94,15.15,23.68,15.2,9.04,58.5,38.96,7.4,23.48
"may-06",42.05,74.96,16.37,12.15,12.23,18.46,7.24,24.16,275.37,13.78,5980,3.47,3.47,32.6,10.15,29,5.15,29.91,4.8,159.81,44.09,77,44.83,1.35,17.8,53.5,58.36,44.56,10.85,43.77,11.55,31,14.04,59.89,32.91,45.76,109.06,40.57,48.16,13.26,20.64,47.32,43.9,11.26,12.31,6.5,104.56,27.27,5.2,210.9,16.14,30.39,16.5,9.97,64.98,39.2,7.4,24.1
"jun-06",40,70.67,18.08,12.35,12.22,17.59,7.27,26.8,271.09,12.97,5621.5,3.47,3.47,31.9,9.89,30.48,5.85,28.46,4.81,168.86,41.21,75,46.32,2.76,16.63,53,60.39,44.63,10.07,43.61,13.2,33.1,15.13,57.44,34.86,43.38,101.45,39.87,41.73,12.63,20.74,46.82,38.52,10.67,12.54,7.64,108.55,26.7,4.99,209,16.21,31.97,16.42,9.57,61.1,43.66,7.41,21.3
"jul-06",40.93,80.89,20.11,13.21,13.22,19.02,8.31,26.8,270,13.89,5663.1,3.47,3.47,30.34,10.17,31.5,6.45,31.19,8.55,171.47,40.68,79,47.71,3.11,17.95,57,64.12,54.91,10.85,52.3,14.25,34,15.91,56.52,34.38,43.62,106.89,42.64,46.44,13.79,20.88,49.78,39.94,11.73,14.09,9.27,127.65,30.07,5.4,197.97,18.25,32.74,18.4,10.88,65.9,46.09,7.77,23.27
"ago-06",38.95,81.65,18.41,14.6,14.39,17.94,7.64,27.95,265,14.8,5876.1,3.47,3.47,29.82,9.55,32,6.7,28.28,8.5,179.98,39.28,86,49.71,3.74,19.18,58.92,60.01,59.01,10.9,47.56,16.65,36.56,18.16,55.97,36.13,46.89,106.19,43.32,49.12,13.68,21.47,48.46,42.53,11.64,16.33,10.93,135.11,30.54,7.79,194.83,18.35,35.12,18.9,11.05,61.5,45.76,7.77,21.2
"sep-06",38.92,85.83,18.31,16.43,16.24,17.25,8.37,28.49,270,17.24,5858.3,3.47,3.47,35.78,10.11,32,6.94,29.09,8.48,208.66,42.71,95,52.87,6.15,20,76.5,60.96,57.97,11.72,50.11,17,45,19.77,59.26,37.27,46.35,107.64,47.97,51.06,16.01,28.17,45.49,42.98,8.56,16.93,11.25,127.54,40.74,7.98,206.65,19,33.06,21.9,12.79,61.87,45.91,7.77,20.06
"oct-06",39.63,84.94,18.68,16.67,16.72,17.48,7.83,29.84,265.86,16.67,5540,3.47,3.47,34.14,10.8,34.55,6.7,27.63,8.35,187.84,42.41,100.5,53.31,6.99,18.46,79,59.15,56.21,13.02,49.58,17.2,55.3,20.48,58.45,35.34,44.57,108.6,54.73,49.87,16.85,32.54,46.92,47.82,9.81,19.95,11.62,128.86,39.74,8.17,200,17.78,34.45,20.6,12.09,59.57,49.38,8.73,20.23
"nov-06",39.2,75.5,18.43,16.22,16.36,16.16,6.7,30.5,269,15.35,5120,3.47,3.47,30.43,12.73,35.98,8,30.14,7.82,214.06,40.61,105.5,53.33,8.79,19.71,82.59,60.22,45.88,15.26,49.64,19.5,48,24,59.46,40,43.97,103.96,69.58,48.51,18.76,34,43.52,50,9.85,23.15,12.18,144.04,40.94,8,204.56,19,37.21,19,11.12,55.56,46.42,8.73,19.71
"dic-06",40.55,79.43,17.47,16.65,16.69,16.84,6.51,29.27,256,16.24,5186,3.47,3.47,30.53,11.52,33.4,7.65,30.47,6.97,219.31,38.39,107.5,55.72,8.25,19.23,67.99,57.43,43.78,13.45,44.99,18.9,48.5,21.43,54.03,39.05,36.84,101.85,60.77,43.59,16.88,34.24,47.04,44.51,9.32,21.5,11.13,147.33,35.79,7.99,202.55,18.36,35.51,19.2,11.54,57.75,41.33,8.74,19.38
"ene-07",40.54,74,17.8,17.4,17.45,14.76,5.91,27.86,256,15.27,5100,3.47,3.47,28.15,11.01,32.48,7.38,29.05,7.15,223.1,40.76,110,59.76,8.55,18.51,66.9,47.81,39.81,13.1,42.92,18.5,41.5,24.39,52.43,35.08,36.84,101.27,65.94,42.26,16.66,34.24,49.8,46.93,9.22,22,12.73,183.99,38.88,7.89,212.02,16.5,33.9,18.3,10.61,52.69,39.63,8.74,19.83
"feb-07",42.01,71.01,15.64,16.88,16.94,12,6.14,24.13,267,15.16,4420,3.47,3.47,27.76,11.52,34,7.3,33.21,8.35,244.96,37.45,113.1,56.06,9.58,20.52,59.69,39.32,38.93,14.25,49.16,22,38.74,30.02,50.32,37.81,37.14,100.79,74.27,42.4,16.54,34.25,45.78,49.5,10.53,23,14.36,255.93,38.9,7.9,232.2,18.53,33.88,19.4,11.41,52.23,41.41,8.74,21.33
"mar-07",36.51,72.02,13.99,16.54,16.78,10.57,5.93,26.55,272,15.06,3640,3.47,3.47,26.69,9.9,29.89,7.8,29.66,8.2,257.57,35.19,113.5,50.08,8.24,16.98,55.21,30.98,39.91,13.62,47.33,27.2,37.88,23.72,47.85,33.81,35.65,89.61,64.55,40.1,14.35,34,45.14,49.55,10.2,25.37,13.22,261.37,36.28,6.45,234,15.5,30.08,20.1,11.97,52.74,37.02,8.74,19.47
